Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling,DateTime,DateTime_rounded,GHI,DNI,DHI,Clearsky GHI,Clearsky DNI,Clearsky DHI,Solar Zenith Angle,Aerosol Optical Depth,Precipitable Water,Ozone,Cloud Type,Surface Albedo,Mapped_Latitude,Mapped_Longitude,DateTime_NREL,Clearness_Index,DNI_Clearness,Diffuse_Fraction,Solar_Elevation,Hour_sin,Hour_cos,Month_sin,Month_cos
Camp Murray,20171209,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,22.82715,29.63959,4.78501,0,6.0,1019.0,722,2017-12-09 13:00:00,2017-12-09 13:00:00,16,1,16,30,337,16,87.67,0.026,0.4,0.282,8,0.12,47.11,-122.57,2017-12-09 13:00:00,0.5333333333333333,0.002967359050445104,1.0,2.3299999999999983,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171210,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,32.62329,23.24715,3.79986,0,6.0,1018.6,722,2017-12-10 12:00:00,2017-12-10 12:00:00,132,517,46,132,517,46,80.48,0.095,0.7000000000000001,0.324,0,0.12,47.11,-122.57,2017-12-10 12:00:00,1.0,1.0,0.3484848484848485,9.519999999999996,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171210,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,24.4873,27.09419,4.92575,0,10.0,1018.0,722,2017-12-10 13:00:00,2017-12-10 13:00:00,13,0,13,18,97,14,87.68,0.242,0.6000000000000001,0.302,4,0.12,47.11,-122.57,2017-12-10 13:00:00,0.7222222222222222,0.0,1.0,2.319999999999993,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171211,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,21.62476,29.62448,4.78528,0,10.0,1016.6,722,2017-12-11 12:00:00,2017-12-11 12:00:00,143,621,41,143,621,41,80.5,0.046,0.4,0.334,0,0.12,47.11,-122.57,2017-12-11 12:00:00,1.0,1.0,0.2867132867132867,9.5,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171211,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,14.16626,36.05721,6.15754,0,10.0,1016.6,722,2017-12-11 13:00:00,2017-12-11 13:00:00,24,210,16,24,210,16,87.69,0.088,0.6000000000000001,0.325,1,0.12,47.11,-122.57,2017-12-11 13:00:00,1.0,1.0,0.6666666666666666,2.3100000000000023,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171213,1100,47.11,-122.57,84,201712000000.0,12,11,Winter,32.17163,21.98326,2.56843,0,10.0,1019.3,722,2017-12-13 11:00:00,2017-12-13 11:00:00,242,747,47,242,747,47,74.88,0.027,1.0,0.348,1,0.12,47.11,-122.57,2017-12-13 11:00:00,1.0,1.0,0.19421487603305784,15.120000000000005,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0
Camp Murray,20171213,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,20.41016,29.67735,4.96093,5,10.0,1018.6,722,2017-12-13 12:00:00,2017-12-13 12:00:00,105,143,81,138,621,36,80.52,0.025,1.0,0.344,8,0.12,47.11,-122.57,2017-12-13 12:00:00,0.7608695652173914,0.23027375201288244,0.7714285714285715,9.480000000000004,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171216,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,69.15283,12.3304,1.82956,3,10.0,1015.3,110,2017-12-16 13:00:00,2017-12-16 13:00:00,25,193,17,25,193,17,87.64,0.07,1.0,0.371,1,0.12,47.11,-122.57,2017-12-16 13:00:00,1.0,1.0,0.68,2.3599999999999994,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171220,1100,47.11,-122.57,84,201712000000.0,12,11,Winter,51.64185,20.60104,1.44254,8,10.0,1010.6,722,2017-12-20 11:00:00,2017-12-20 11:00:00,247,749,51,247,749,51,74.84,0.042,0.6000000000000001,0.35,0,0.12,47.11,-122.57,2017-12-20 11:00:00,1.0,1.0,0.20647773279352227,15.159999999999997,0.258819045102521,-0.9659258262890682,-2.4492935982947064e-16,1.0
Camp Murray,20171220,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,24.01123,26.45973,4.60909,6,10.0,1011.9,722,2017-12-20 12:00:00,2017-12-20 12:00:00,144,620,40,144,620,40,80.35000000000001,0.041,0.6000000000000001,0.347,0,0.12,47.11,-122.57,2017-12-20 12:00:00,1.0,1.0,0.2777777777777778,9.649999999999991,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171220,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,14.4043,27.76642,5.98127,15,10.0,1012.6,722,2017-12-20 13:00:00,2017-12-20 13:00:00,14,0,14,28,252,17,87.49,0.042,1.0,0.352,4,0.12,47.11,-122.57,2017-12-20 13:00:00,0.5,0.0,1.0,2.510000000000005,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171221,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,36.56006,18.66745,3.62394,0,10.0,1019.3,722,2017-12-21 12:00:00,2017-12-21 12:00:00,30,0,30,137,561,42,80.3,0.055,1.1,0.341,4,0.12,47.11,-122.57,2017-12-21 12:00:00,0.21897810218978103,0.0,1.0,9.700000000000003,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20171221,1300,47.11,-122.57,84,201712000000.0,12,13,Winter,33.14209,17.41867,3.83505,3,10.0,1018.6,722,2017-12-21 13:00:00,2017-12-21 13:00:00,31,313,17,31,313,17,87.42,0.039,0.6000000000000001,0.344,1,0.12,47.11,-122.57,2017-12-21 13:00:00,1.0,1.0,0.5483870967741935,2.5799999999999983,-0.2588190451025208,-0.9659258262890683,-2.4492935982947064e-16,1.0
Camp Murray,20171227,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,70.39795,7.80357,1.40736,0,6.0,1014.3,170,2017-12-27 12:00:00,2017-12-27 12:00:00,54,2,54,149,613,41,79.85000000000001,0.028,1.5,0.376,8,0.68,47.11,-122.57,2017-12-27 12:00:00,0.3624161073825503,0.0032626427406199023,1.0,10.149999999999991,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0
Camp Murray,20180102,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,66.97998,9.70192,1.61846,3,10.0,1016.3,722,2018-01-02 12:00:00,2018-01-02 12:00:00,47,2,47,159,623,42,79.17,0.034,1.4,0.329,8,0.12,47.11,-122.57,2018-01-02 12:00:00,0.29559748427672955,0.0032102728731942215,1.0,10.829999999999998,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180102,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,66.8335,9.01962,1.65364,3,10.0,1015.6,160,2018-01-02 13:00:00,2018-01-02 13:00:00,44,371,20,44,371,20,86.3,0.027,1.2000000000000002,0.339,0,0.12,47.11,-122.57,2018-01-02 13:00:00,1.0,1.0,0.45454545454545453,3.700000000000003,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180103,1130,47.11,-122.57,84,201801000000.0,1,11,Winter,62.97607,10.94315,1.44254,6,3.0,1010.9,5,2018-01-03 11:30:00,2018-01-03 11:30:00,214,712,43,214,712,43,76.12,0.022,1.7000000000000002,0.31,0,0.12,47.11,-122.57,2018-01-03 11:30:00,1.0,1.0,0.20093457943925233,13.879999999999995,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180103,1145,47.11,-122.57,84,201801000000.0,1,11,Winter,62.42676,11.64307,1.65364,5,3.0,1010.9,6,2018-01-03 11:45:00,2018-01-03 12:00:00,78,2,78,161,647,38,79.03,0.022,1.7000000000000002,0.31,4,0.12,47.11,-122.57,2018-01-03 12:00:00,0.484472049689441,0.0030911901081916537,1.0,10.969999999999999,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180103,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,39.50806,22.52205,4.60909,0,4.0,1010.3,20,2018-01-03 12:00:00,2018-01-03 12:00:00,78,2,78,161,647,38,79.03,0.022,1.7000000000000002,0.31,4,0.12,47.11,-122.57,2018-01-03 12:00:00,0.484472049689441,0.0030911901081916537,1.0,10.969999999999999,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180103,1230,47.11,-122.57,84,201801000000.0,1,12,Winter,24.15161,28.96988,4.89084,5,3.0,1010.3,15,2018-01-03 12:30:00,2018-01-03 12:30:00,57,2,57,104,547,31,82.37,0.022,1.7000000000000002,0.31,4,0.12,47.11,-122.57,2018-01-03 12:30:00,0.5480769230769231,0.003656307129798903,1.0,7.6299999999999955,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180103,1245,47.11,-122.57,84,201801000000.0,1,12,Winter,25.64087,27.70348,4.88272,6,3.0,1010.3,722,2018-01-03 12:45:00,2018-01-03 13:00:00,17,0,17,45,355,21,86.17,0.033,1.4,0.328,6,0.12,47.11,-122.57,2018-01-03 13:00:00,0.37777777777777777,0.0,1.0,3.8299999999999983,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180106,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,64.04419,17.47154,2.39237,10,10.0,1013.6,70,2018-01-06 11:00:00,2018-01-06 11:00:00,147,13,143,265,730,55,73.28,0.042,1.5,0.33,4,0.12,47.11,-122.57,2018-01-06 11:00:00,0.5547169811320755,0.01780821917808219,0.9727891156462585,16.72,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180106,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,48.52905,18.73291,4.78501,13,10.0,1014.6,60,2018-01-06 13:00:00,2018-01-06 13:00:00,8,0,8,50,378,22,85.75,0.029,1.8,0.358,8,0.12,47.11,-122.57,2018-01-06 13:00:00,0.16,0.0,1.0,4.25,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180107,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,80.29785,11.57761,1.61846,3,10.0,1008.6,60,2018-01-07 12:00:00,2018-01-07 12:00:00,26,0,26,167,626,41,78.43,0.032,2.2,0.318,8,0.12,47.11,-122.57,2018-01-07 12:00:00,0.15568862275449102,0.0,1.0,11.569999999999993,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180108,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,82.21436,11.59775,1.61266,0,1.0,998.8,2,2018-01-08 12:00:00,2018-01-08 12:00:00,28,0,28,173,642,42,78.27,0.034,1.6,0.345,8,0.13,47.11,-122.57,2018-01-08 12:00:00,0.16184971098265896,0.0,1.0,11.730000000000004,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180108,1215,47.11,-122.57,84,201801000000.0,1,12,Winter,80.05371,11.63048,1.72401,0,0.0,998.5,2,2018-01-08 12:15:00,2018-01-08 12:00:00,28,0,28,173,642,42,78.27,0.034,1.6,0.345,8,0.13,47.11,-122.57,2018-01-08 12:00:00,0.16184971098265896,0.0,1.0,11.730000000000004,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180108,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,77.68555,12.22214,1.72401,0,4.0,997.8,2,2018-01-08 13:00:00,2018-01-08 13:00:00,8,0,8,54,377,24,85.44,0.033,2.2,0.317,8,0.13,47.11,-122.57,2018-01-08 13:00:00,0.14814814814814814,0.0,1.0,4.560000000000002,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180108,1315,47.11,-122.57,84,201801000000.0,1,13,Winter,77.78931,12.23221,0.48681,0,10.0,997.2,3,2018-01-08 13:15:00,2018-01-08 13:00:00,8,0,8,54,377,24,85.44,0.033,2.2,0.317,8,0.13,47.11,-122.57,2018-01-08 13:00:00,0.14814814814814814,0.0,1.0,4.560000000000002,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180109,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,85.84595,12.32285,1.40728,9,10.0,992.8,722,2018-01-09 11:00:00,2018-01-09 11:00:00,119,18,114,278,762,53,72.8,0.035,1.2000000000000002,0.362,8,0.13,47.11,-122.57,2018-01-09 11:00:00,0.42805755395683454,0.023622047244094488,0.957983193277311,17.200000000000003,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180109,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,40.22827,25.23865,5.80535,9,10.0,993.1,722,2018-01-09 12:00:00,2018-01-09 12:00:00,95,20,91,180,666,43,78.10000000000001,0.032,1.1,0.362,8,0.13,47.11,-122.57,2018-01-09 12:00:00,0.5277777777777778,0.03003003003003003,0.9578947368421052,11.899999999999991,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180109,1230,47.11,-122.57,84,201801000000.0,1,12,Winter,48.49243,19.41269,2.81471,10,10.0,993.1,16,2018-01-09 12:30:00,2018-01-09 12:30:00,43,0,43,121,571,36,81.43,0.032,1.1,0.362,4,0.13,47.11,-122.57,2018-01-09 12:30:00,0.35537190082644626,0.0,1.0,8.569999999999993,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180109,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,63.0249,14.8909,2.70916,9,10.0,993.5,14,2018-01-09 13:00:00,2018-01-09 13:00:00,11,0,11,56,388,24,85.28,0.036,1.7000000000000002,0.348,8,0.13,47.11,-122.57,2018-01-09 13:00:00,0.19642857142857142,0.0,1.0,4.719999999999999,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180113,1145,47.11,-122.57,84,201801000000.0,1,11,Winter,36.65161,29.07059,4.08157,0,10.0,1019.0,70,2018-01-13 11:45:00,2018-01-13 12:00:00,187,655,44,187,655,44,77.36,0.031,2.0,0.316,0,0.12,47.11,-122.57,2018-01-13 12:00:00,1.0,1.0,0.23529411764705882,12.64,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180113,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,32.91626,30.9639,3.06117,0,10.0,1019.0,70,2018-01-13 12:00:00,2018-01-13 12:00:00,187,655,44,187,655,44,77.36,0.031,2.0,0.316,0,0.12,47.11,-122.57,2018-01-13 12:00:00,1.0,1.0,0.23529411764705882,12.64,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180113,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,20.57495,39.43344,7.20086,5,10.0,1018.0,50,2018-01-13 13:00:00,2018-01-13 13:00:00,11,0,11,65,392,28,84.57000000000001,0.04,2.2,0.318,8,0.12,47.11,-122.57,2018-01-13 13:00:00,0.16923076923076924,0.0,1.0,5.429999999999993,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180114,1315,47.11,-122.57,84,201801000000.0,1,13,Winter,66.45508,15.5027,1.93512,0,10.0,1009.6,7,2018-01-14 13:15:00,2018-01-14 13:00:00,47,15,46,70,441,27,84.39,0.029,1.9,0.315,7,0.12,47.11,-122.57,2018-01-14 13:00:00,0.6714285714285714,0.034013605442176874,0.9787234042553191,5.609999999999999,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180115,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,71.11816,12.91451,1.61846,3,10.0,1005.9,722,2018-01-15 11:00:00,2018-01-15 11:00:00,303,791,55,303,791,55,71.69,0.034,1.0,0.313,0,0.12,47.11,-122.57,2018-01-15 11:00:00,1.0,1.0,0.18151815181518152,18.310000000000002,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180115,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,33.28247,28.36311,4.85538,0,10.0,1004.5,722,2018-01-15 12:00:00,2018-01-15 12:00:00,31,0,31,199,669,48,76.97,0.043,1.2000000000000002,0.312,4,0.12,47.11,-122.57,2018-01-15 12:00:00,0.15577889447236182,0.0,1.0,13.030000000000001,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180115,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,21.49658,35.46051,7.17793,3,10.0,1002.5,722,2018-01-15 13:00:00,2018-01-15 13:00:00,75,471,27,75,471,27,84.2,0.028,1.3,0.303,0,0.12,47.11,-122.57,2018-01-15 13:00:00,1.0,1.0,0.36,5.799999999999997,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180116,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,41.12549,23.22701,2.67398,8,10.0,1011.3,722,2018-01-16 11:00:00,2018-01-16 11:00:00,197,115,160,302,768,58,71.48,0.038,1.2000000000000002,0.375,8,0.12,47.11,-122.57,2018-01-16 11:00:00,0.652317880794702,0.14973958333333334,0.8121827411167513,18.519999999999996,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180116,1200,47.11,-122.57,84,201801000000.0,1,12,Winter,30.57251,28.32031,6.15719,15,10.0,1012.3,722,2018-01-16 12:00:00,2018-01-16 12:00:00,63,0,63,203,687,46,76.76,0.031,1.2000000000000002,0.374,3,0.12,47.11,-122.57,2018-01-16 12:00:00,0.3103448275862069,0.0,1.0,13.239999999999995,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180118,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,89.31274,12.30019,1.61846,7,10.0,999.2,722,2018-01-18 11:00:00,2018-01-18 11:00:00,59,1,59,312,778,59,71.05,0.04,1.0,0.39,6,0.12,47.11,-122.57,2018-01-18 11:00:00,0.1891025641025641,0.0012853470437017994,1.0,18.950000000000003,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180119,1100,47.11,-122.57,84,201801000000.0,1,11,Winter,65.60669,11.58012,2.46287,13,10.0,1001.5,70,2018-01-19 11:00:00,2018-01-19 11:00:00,113,9,110,307,729,68,70.83,0.061,1.3,0.387,8,0.12,47.11,-122.57,2018-01-19 11:00:00,0.36807817589576547,0.012345679012345678,0.9734513274336283,19.17,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
Camp Murray,20180119,1215,47.11,-122.57,84,201801000000.0,1,12,Winter,70.23926,11.01112,2.56843,13,10.0,1001.9,39,2018-01-19 12:15:00,2018-01-19 12:00:00,74,5,73,209,638,56,76.11,0.056,1.3,0.386,8,0.12,47.11,-122.57,2018-01-19 12:00:00,0.35406698564593303,0.007836990595611285,0.9864864864864865,13.89,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
Camp Murray,20180119,1300,47.11,-122.57,84,201801000000.0,1,13,Winter,58.88672,12.89688,2.78998,16,10.0,1001.5,47,2018-01-19 13:00:00,2018-01-19 13:00:00,19,0,19,84,421,36,83.39,0.053,1.1,0.396,6,0.12,47.11,-122.57,2018-01-19 13:00:00,0.2261904761904762,0.0,1.0,6.609999999999999,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
Camp Murray,20180120,1230,47.11,-122.57,84,201801000000.0,1,12,Winter,92.3584,8.47076,2.56843,6,10.0,1006.9,35,2018-01-20 12:30:00,2018-01-20 12:30:00,67,7,66,155,596,44,79.24,0.046,1.2000000000000002,0.397,8,0.12,47.11,-122.57,2018-01-20 12:30:00,0.432258064516129,0.01174496644295302,0.9850746268656716,10.760000000000005,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387
